Variable:,pr,,,,,,,,,,,
Country:,Somalia,,,,,,,,,,,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,2.15,1.52,12.03,65.97,57.57,6.8,12.02,10.47,7.37,46.84,11.6,2.77
1963,2.97,3.03,3.37,117.71,47.18,21.21,10.63,7.32,23.47,17.33,61.62,20.56
1964,7.32,1.72,7.96,81.63,80.47,12.2,14.39,23.37,9.24,24.26,4.27,14.28
1965,1.74,0.91,3.23,42.75,42.84,27.13,12.22,6.94,13.22,80.72,57.75,1.9
1966,1.47,5.5,14.03,66.82,25.24,14.76,6.24,14.95,10.11,85.28,20.52,1.19
1967,1.05,0.77,27.77,53.35,89.21,26.05,12.81,15.59,11.66,74.48,99.88,1.01
1968,0.88,11.41,24.58,91.9,45.21,43.49,28.76,8.21,7.3,42.73,79.22,26.03
1969,3.7,9.39,18.44,20.74,85.83,22.9,17,7.27,4.85,36.29,32.76,3.32
1970,3.45,2.09,18.4,68.06,43.58,16.76,11.55,9.67,11.67,36.26,4.36,1.23
1971,0.78,0.91,4.66,44.71,61.56,18.65,6.48,6.33,11.3,48.2,31.21,1.83
1972,0.98,3.6,2.63,38.05,102.54,16.78,18.7,7.7,16.09,94.42,46.61,1.8
1973,1.57,1.11,2.06,31.77,79.2,19.85,9.06,5.76,6,43.3,16.76,3.68
1974,1.44,0.92,25.22,30.76,60.28,9.6,10.55,5.57,7.2,18.41,13.89,15.09
1975,7.27,1.26,3.1,45.92,48.35,18.2,27.95,10.15,9.89,15.12,15.79,1.34
1976,1.57,1.82,3.73,79.73,75.98,10.61,15.56,10.47,11.36,30.02,24.29,12.29
1977,4.09,0.87,14.76,80.06,33.84,19.97,9.83,18.35,7.03,78.76,64.81,11.49
1978,1.3,9.21,15.69,44.86,61.92,7.12,14.54,7.07,6.54,61.61,20.18,14.28
1979,9.77,1.46,17.45,42.71,65.76,46.73,21.07,6.73,17.45,23.92,29.68,8.1
1980,1.37,0.94,2.36,20.3,46.72,12.3,19.77,17.06,13.47,25.11,26.47,1.21
1981,1.12,2.26,49.53,89.89,65.38,9.12,15.36,17.69,11.81,25.9,27.24,19.5
1982,1.9,1.4,7.01,53.75,53,22.25,16.55,9.03,11.52,110.99,57.51,8.27
1983,3.29,3.14,2.2,47.84,49.88,18.78,17.74,14.44,16.57,18.3,15.93,2.68
1984,1.87,0.93,1.94,31.71,52.85,27.99,10.67,3.13,23.33,27.08,30.5,18.92
1985,1.27,1.17,17.93,58.53,52.5,5.17,14.92,8.47,15.88,26.24,24.93,4.3
1986,0.84,1.74,9.5,91.39,60.49,19.24,11.07,5.27,8.72,17.57,21.11,5.05
1987,1.37,1.1,8.6,31.62,110.33,15.9,8.28,13.09,10.73,45.54,32.98,2.32
1988,1.56,2.74,9.49,109.29,23.82,40.77,17.99,6.94,11.92,17.1,29.2,4.39
1989,1.4,2.5,18.47,74.5,53.02,10.99,5.51,9.84,16.5,60.84,60.73,28.77
1990,1.56,3.02,27.35,96.55,22.81,5.33,6.14,6.64,6.7,42.44,20.25,39.01
1991,2.15,3.5,26.72,51.78,52.88,11.29,12.2,7.74,7.95,23.99,17.43,12.6
1992,2.68,2.13,6.07,39.3,40.95,11.02,9.47,11.99,21.81,28.68,36.85,23.59
1993,3.84,2.96,6.41,53.9,51.33,27.93,17.42,7.93,11.31,42.31,23.27,5.71
1994,1.56,1.37,6.67,45.79,52.41,20.68,12.73,11.23,13.39,48.33,70.85,6.84
1995,1.89,2.82,12.7,64.23,36.09,11.69,13.7,16.11,8.66,49.46,36.27,9.68
1996,3.24,2.19,14.37,47.21,67.89,17.82,11.2,8.77,8.59,22.36,25.5,5.46
1997,2.22,1.59,15.81,67.75,36.62,19.76,11,7.47,8.69,67.51,66.45,37.8
1998,3.86,2.3,9.75,52.14,92.05,14.35,13.5,10.5,7.9,26.53,27.62,4.33
1999,1.68,1.45,23.59,35.38,51.93,20.29,11.42,12.86,18.22,45.24,29.74,6.51
2000,2.24,2.2,12.13,52.59,60.1,17.47,11.64,14.24,13.5,44.51,34.84,9.31
2001,2.35,2.54,12.05,45.01,49.03,16.75,11.91,16.62,12.83,34.49,35.3,10.52
2002,2.59,2.09,8.46,67.13,44.52,13.53,11.27,10.08,14.18,53.85,39.98,14.35
2003,2.32,2.13,11.6,61.26,56.75,19.07,15.56,9.63,12.57,43.61,35.98,8.51
2004,3.28,2.89,12.71,59.74,56.57,18.33,14.09,10.83,11.63,48.04,36.33,9.04
2005,2.82,2.59,13.23,54.36,57.66,19.88,14.66,10.39,13.36,43.53,33.63,8.94
2006,2.91,2.52,13.3,60.06,60.34,18.02,16.97,11.08,13.08,44.19,35.72,10.2
2007,2.8,2.95,12.42,56.88,57.34,20.85,11.06,9.69,13.6,61.96,35.99,8.94
2008,2.91,2.55,12.21,48.08,63.6,18.19,11.89,11.13,9.76,48.62,31.18,8.94
2009,3.54,2.72,9.6,45.48,47.78,20.05,13.78,10.15,11.32,48.76,36.56,10.79
2010,2.76,3.04,14.52,58.97,47.52,18.64,14.55,10.33,12.47,43.98,23.79,9.4
2011,2.97,2.56,13.04,49.08,63.12,18.59,14.51,11.79,11.53,43.51,36.56,27.92
2012,3.4,3.02,13.05,55.4,52.96,18.58,14.29,11.1,11.89,40,32.05,7.98
2013,3.27,2.55,16.27,50.87,54.99,17.39,14.12,10.89,10.9,45.64,53.75,8.99
2014,2.77,2.82,10.06,49.43,52.08,19.22,14.96,10.74,13.25,46.7,35.78,8.95
2015,2.77,2.55,12.47,58.84,60.26,19.7,14.42,10.93,13.65,60.9,34.97,7.17
2016,2.76,3.48,11.22,62.95,49.65,14.21,21.44,10.01,10.56,31.14,58.39,9.73
2017,2.77,3.09,17.69,94.71,60.21,19.3,11.06,12.68,15.93,59.88,45.6,5.74
2018,2.15,3.46,14.64,58.95,71.64,15.74,11.21,11.1,12.47,44.86,46.58,8.17
2019,3.01,3.02,10.29,58.39,58.62,13.16,23.94,9.83,12.47,69.51,52.1,18.21
2020,3.26,3.02,13.05,58.95,55,13.03,11.94,10.12,12.67,40.84,32.66,6.7
2021,2.17,2.34,10.84,59.05,50.15,18.71,12.25,10.68,10.53,72.48,42.07,9.08
